mention_id,entity_name,entity_type,chunk_id,section_id,context_snippet
M00180,Nixon,Person,1975-11-05_SECTION_013_02,,kman retired to write his memoirs (like Nixon). Jason's trial could be compared to th
M00181,Jesus,Person,1975-11-05_SECTION_013_02,,"agrees with Jesus' ""...On earth as it is in heaven,"" heav"
M00182,Christ,Person,1975-11-05_SECTION_013_02,,"o me and for me, then it was the Logos, Christ, since she is that same Savior, God's F"
M00183,God,Person,1975-11-05_SECTION_013_02,,"he sublunar realm, one finds favor with God, then upon one's death one ascends. Mer"
M00184,Holy Spirit,Person,1975-11-05_SECTION_013_02,,"hat none can contradict you."" (ii) ""The Holy Spirit will speak for you"" (when you are broug"
M00185,Plato,Person,1975-11-05_SECTION_013_02,,"et al). Thus to my statement in UBIK re Plato, about the man containing not the child"
M00186,Plotinus,Person,1975-11-05_SECTION_013_02,,"ical"" motion certainly sounds like what Plotinus described, as rising from this, univers"
M00187,Sophia,Person,1975-11-05_SECTION_013_02,,"ttom line on this: if it was indeed St. Sophia who spoke to me and for me, then it was"
M00188,Logos,Person,1975-11-05_SECTION_013_02,,"spoke to me and for me, then it was the Logos, Christ, since she is that same Savior,"
M00189,UBIK,Work,1975-11-05_SECTION_013_02,,"a rollback (regression) in time like in UBIK, although vaster: back to the first cen"
M00190,Ubik,Work,1975-11-05_SECTION_013_02,,"a rollback (regression) in time like in UBIK, although vaster: back to the first cen"
M00191,TEARS,Work,1975-11-05_SECTION_013_02,,"auditionary, signs, etc. The dream in ""TEARS"" anticipates exactly what did happen: a"
M00192,EXEGESIS,Work,1975-11-05_SECTION_013_02,,the child but the former man (the great exegesis on UBIK about Plato's forms; the new mo
M00193,Acts,Work,1975-11-05_SECTION_013_02,,support even his own individual unjust acts. The society was thrown down in that in
M00194,Jesus,Person,1975-11-05_SECTION_013_03,,aithful to him. Not anything else which Jesus said or did during his life. Then it is
M00195,Christ,Person,1975-11-05_SECTION_013_03,,ssed (correctly) the role of the Cosmic Christ described by Paul -- that Cosmic Christ
M00196,God,Person,1975-11-05_SECTION_013_03,,"it was me ascending or God descending, all my dreams (esp. the dre"
M00197,Holy Spirit,Person,1975-11-05_SECTION_013_03,,my mind & the products of my mind. The Holy Spirit led me through the labyrinth & out — he
M00198,Calvin,Person,1975-11-05_SECTION_013_03,,"two states as few men can; I don't need Calvin's description and contrasting, but he c"
M00199,Sophia,Person,1975-11-05_SECTION_013_03,,"h the agency of the Logos, which is St. Sophia. All this would suggest that the world"
